Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
PDCOVER25,8.471,6.225,7.25,6.25,PDCOVER25
PDCOVERR,27.30,13.50,6.75,13.50,PDCOVERR
PDEPDM1010,30.00,0.00,0.00,0.00,PDEPDM1010
PDEPDM10100R,300.00,0.00,0.00,0.00,PDEPDM10100R
PDEPDM1050,165.00,0.00,0.00,0.00,PDEPDM1050
PDEPDM15100R,450.00,0.00,0.00,0.00,PDEPDM15100R
PDEPDM1550,225.00,0.00,0.00,0.00,PDEPDM1550
PDEPDM2025,165.00,0.00,0.00,0.00,PDEPDM2025
PDEPDM2050,300.00,0.00,0.00,0.00,PDEPDM2050
PDEPDM5100,160.00,0.00,0.00,0.00,PDEPDM5100
PDEPDM550,75.00,78.00,12.00,12.00,PDEPDM550
PDFAB,4.52,0.00,0.00,0.00,PDFAB
PDGEOB1520,17.00,13.00,18.00,13.00,PDGEOB1520
PDGEOB1525,22.00,27.00,13.00,13.00,PDGEOB1525
PDGEOB1575,63.00,42.00,22.00,22.00,PDGEOB1575
PDGEOR15,260.00,181.00,17.00,17.00,PDGEOR15
PDH10,0.60,4.00,2.40,2.40,PDH10
PDH50,5.85,8.00,4.00,8.00,PDH50
PDPRILQT,2.612,4.40,5.00,4.40,PDPRILQT
PDREPAIR,1.00,6.75,2.00,6.00,PDREPAIR
PG14T100,0.442,3.50,1.50,3.00,PG14T100
PG14T30,0.452,3.50,1.50,3.00,PG14T30
PGFTEST,2.021,8.00,6.00,9.00,PGFTEST
PGH100,0.555,6.50,1.50,3.00,PGH100
PGH30,0.565,6.50,1.50,3.00,PGH30
PGKRKEY,0.10,1.875,0.063,1.00,PGKRKEY
PGKRPRO30,0.30,0.00,0.00,0.00,PGKRPRO30
PGPKEY,0.011,3.00,2.00,0.25,PGPKEY
PGSW1212,0.15,15.25,0.875,2.25,PGSW1212
PGSW3412,0.15,15.00,2.50,2.50,PGSW3412
PMAR1290,0.036,2.00,1.00,1.50,PMAR1290
PMAR3490,0.056,2.50,1.50,2.00,PMAR3490
POLYCUT,0.331,11.25,1.37,4.44,POLYCUT
POMELT,0.368,9.00,1.30,2.75,POMELT
PONOZ10,0.02,2.25,1.00,1.00,PONOZ10
PONOZ12,0.02,2.00,1.25,1.25,PONOZ12
PONOZ15,0.02,2.20,1.00,1.00,PONOZ15
PONOZ17,0.02,2.20,1.00,1.00,PONOZ17
PONOZ7,0.02,2.20,1.00,1.00,PONOZ7
POPNA,0.04,0.875,0.875,1.00,POPNA
PR112NET12,0.62,7.00,3.00,7.00,PR112NET12
PR112NET35,0.623,6.00,2.40,5.90,PR112NET35
PR12,0.297,4.50,1.875,1.875,PR12
PR20,0.299,4.50,1.75,1.75,PR20
PR2NET35,3.925,5.25,4.90,5.25,PR2NET35
PR2NETA12,1.25,5.40,5.10,5.40,PR2NETA12
PR2NETA35,3.925,5.25,4.90,5.25,PR2NETA35
PRHOUSE1,3.661,5.75,2.75,3.75,PRHOUSE1
PRHOUSE34,2.295,6.00,2.75,5.50,PRHOUSE34
PRNESP12,0.125,3.70,1.50,1.50,PRNESP12
PRNESP20,0.131,3.60,2.40,2.40,PRNESP20
PRNESP35,0.134,3.70,1.50,1.50,PRNESP35
PRNESP50,0.141,3.70,1.40,1.40,PRNESP50
PRNESP65,0.139,3.70,1.50,1.50,PRNESP65
PRNESP9,0.125,3.60,1.40,1.40,PRNESP9
PRNET12,0.232,4.70,2.60,3.00,PRNET12
PRNET20,0.238,4.00,1.50,4.00,PRNET20
PRNET35,0.24,4.80,1.30,3.00,PRNET35
PRNET50,0.201,4.70,1.30,3.00,PRNET50
PROHWA,0.01,1.00,0.01,1.00,PROHWA
PU400NEW,0.22,7.75,0.625,3.00,PU400NEW
PUADJ,0.312,8.375,1.50,5.00,PUADJ
PUADJTLG,0.02,0.70,2.60,0.70,PUADJTLG
PUADJTSM,0.02,1.75,0.50,0.50,PUADJTSM
PUDTA,0.035,4.25,0.625,1.25,PUDTA
PUINS,0.225,6.00,1.50,5.00,PUINS
PUKEY,0.008,2.00,0.50,1.125,PUKEY
PUM,0.18,5.50,1.25,2.875,PUM
PUM18TIP,0.011,1.813,0.313,0.50,PUM18TIP
PUMK,0.18,5.25,2.75,1.375,PUMK
PUMKTIP,0.012,1.875,0.375,0.50,PUMKTIP
PUMTIP,0.012,1.813,0.313,0.50,PUMTIP
PUO,0.10,5.50,1.00,1.00,PUO
PUPCUT,0.40,10.00,1.125,1.50,PUPCUT
PUPKT,0.10,5.00,1.50,1.50,PUPKT
PUPUR,0.06,4.125,0.563,1.375,PUPUR
PUS,0.0925,0.00,0.00,0.00,PUS
PUW,0.05,4.375,0.75,0.875,PUW
PVL134RC,0.13,2.40,2.00,2.00,PVL134RC
PVL1C,0.16,2.40,2.10,2.10,PVL1C
PVL1CA,0.09,1.30,2.10,2.10,PVL1CA
PVL1L,0.25,4.20,2.80,2.00,PVL1L
PVL1MA,0.11,2.00,2.20,2.20,PVL1MA
PVL1SR,0.48,7.75,2.30,2.30,PVL1SR
PVL1T,0.37,4.30,2.10,2.90,PVL1T
PVL1TOOL,0.04,2.10,0.90,2.10,PVL1TOOL
PVL34C,0.11,2.50,2.00,2.00,PVL34C
PVL34CA,0.06,2.50,2.00,2.00,PVL34CA
PVL34L,0.14,2.75,2.00,3.00,PVL34L
PVL34MA,0.07,2.00,1.75,1.75,PVL34MA
PVL34SR,0.30,7.00,2.00,2.00,PVL34SR
PVL34T,0.20,3.75,2.00,3.00,PVL34T
PVL34TOOL,0.03,1.75,1.00,1.75,PVL34TOOL
PVLBEV,0.005,1.60,1.70,1.70,PVLBEV
R14B,0.011,1.50,1.00,1.00,R14B
RB2M,0.03,2.50,1.50,1.50,RB2M
RCOR,0.044,5.00,1.50,3.00,RCOR
RLSO,0.161,5.00,1.50,3.00,RLSO
ROCTABUB10,0.155,2.50,3.00,3.00,ROCTABUB10
ROCTABUB10GFC,0.0146,4.00,0.50,1.00,ROCTABUB10GFC
ROCTABUB2,0.155,2.50,3.00,3.00,ROCTABUB2
ROCTABUB20,0.155,2.50,3.00,3.00,ROCTABUB20
ROCTABUB20GFC,0.0146,4.00,0.50,1.00,ROCTABUB20GFC
ROCTABUB2GFC,0.0146,4.00,0.50,1.00,ROCTABUB2GFC
ROCTABUB6,0.155,2.50,3.00,3.00,ROCTABUB6
ROCTABUB6GFC,0.0146,4.00,0.50,1.00,ROCTABUB6GFC
ROCTABUBPLUG-25,0.0025,4.00,1.00,1.00,ROCTABUBPLUG-25
RTA,0.014,1.00,1.00,1.00,RTA
S12SC-10,0.08,5.00,1.00,3.50,S12SC-10
S12SC-50,0.80,6.00,1.50,4.00,S12SC-50
S14SC-10,0.02,1.00,3.875,0.375,S14SC-10
S14SC-50,0.20,3.625,0.625,0.625,S14SC-50
S17,0.083,16.38,2.08,3.45,S17
SA12-5,0.215,12.00,0.76,0.51,SA12-5
SA16-5,0.305,16.50,2.50,2.50,SA16-5
SA21-5,0.375,21.50,1.00,2.80,SA21-5
SA8-5,0.14,8.25,0.90,2.00,SA8-5
SBHD-10,0.32,8.00,0.41,1.50,SBHD-10
SBHD-100,3.20,8.00,2.50,2.50,SBHD-100
SD5,0.01,5.50,0.375,0.75,SD5
SDPH,0.02,6.50,0.50,1.375,SDPH
SEZ17-Old,0.143,19.25,2.75,2.50,SEZ17-Old
SEZT36,0.06,36.20,0.32,0.32,SEZT36
SLOC78,0.0035,2.20,0.30,1.20,SLOC78
SMP10,0.30,15.00,1.00,15.00,SMP10
SMP100,1.60,18.00,3.00,18.00,SMP100
SMP20,0.64,18.00,1.00,18.00,SMP20
SMP200,2.56,24.00,2.00,24.00,SMP200
SMP30,0.78,24.00,1.00,24.00,SMP30
SMP400,3.87,24.00,3.00,24.00,SMP400
SMP45,1.00,25.00,1.00,24.00,SMP45
SMP5,0.20,11.50,1.00,11.00,SMP5
SMP65,1.24,16.00,2.00,14.00,SMP65
SMPRB,2.50,24.00,2.50,13.50,SMPRB
SMPTN20,0.64,17.00,2.00,17.00,SMPTN20
SMPTN45,1.00,36.50,3.50,3.50,SMPTN45
SMPTN5,0.20,11.50,1.00,11.50,SMPTN5
SMPTN65,1.24,17.00,2.00,17.00,SMPTN65
SOAK25,0.75,11.50,1.00,3.50,SOAK25
SOAK50,1.30,13.50,1.00,5.50,SOAK50
SOAK75,2.15,11.00,1.00,8.50,SOAK75
SPOP,0.125,14.00,0.80,0.80,SPOP
SPOPH,0.04,2.40,1.90,1.20,SPOPH
SPOPJR,0.09,9.75,0.80,0.80,SPOPJR
SR12,0.018,12.00,0.71,0.90,SR12
SR18,0.026,18.00,0.53,0.53,SR18
SS14,0.05,14.00,0.125,0.75,SS14
SS3-10,0.10,3.75,1.00,0.75,SS3-10
SS3-100,1.00,4.00,1.25,2.50,SS3-100
SS5-10,0.11,5.00,0.50,0.75,SS5-10
SS5-100,1.10,5.50,3.25,1.625,SS5-100
SS6-10,0.09,6.00,1.00,1.50,SS6-10
SS6-50,0.45,6.00,1.50,4.00,SS6-50
ST13,0.05,12.50,1.90,1.95,ST13
STEL-5,0.075,8.00,2.00,3.00,STEL-5
STEL-50,0.75,12.00,4.00,8.50,STEL-50
STEZ13,0.09,17.00,4.125,4.125,STEZ13
STRE,0.007,1.50,0.50,1.00,STRE
STRE34,0.013,1.75,0.625,1.125,STRE34
SUHD-10,0.35,6.375,0.50,1.75,SUHD-10
SUHD-100,3.60,7.00,3.00,1.50,SUHD-100
SV,0.028,7.625,0.75,1.75,SV
TA1512H,66.00,22.00,11.50,21.00,TA1512H
TA606,66.00,22.00,11.50,21.00,TA606
TAZ1508H,66.00,15.10,10.00,10.00,TAZ1508H
TAZ1508HSR,15.10,0.00,0.00,0.00,TAZ1508HSR
TAZ1508L,66.00,22.00,11.50,21.00,TAZ1508L
TAZ1508LSR,15.10,11.625,11.75,10.00,TAZ1508LSR
TAZ1512H,66.00,22.00,11.50,21.00,TAZ1512H
TAZ1512L,66.00,0.00,0.00,0.00,TAZ1512L
TAZ606,66.00,22.00,11.50,21.00,TAZ606
TAZ804,66.00,22.00,11.50,21.00,TAZ804
TAZ804SR,17.22,11.625,10.00,10.00,TAZ804SR
TAZ808H,66.00,22.00,11.50,21.00,TAZ808H
TAZ808L,66.00,22.00,11.50,21.00,TAZ808L
TBAT9,0.105,0.875,1.875,0.625,TBAT9
TBATAA,0.054,0.563,2.00,0.563,TBATAA
TBWC,0.019,2.20,0.70,1.70,TBWC
TC1508H100,1.86,12.00,1.50,12.00,TC1508H100
TC804100,1.10,12.00,1.50,12.00,TC804100
TDB13-100,10.80,16.00,3.30,16.00,TDB13-100
TDB13-25,2.80,13.75,1.10,14.00,TDB13-25
TDB13-250,28.00,11.75,6.75,11.75,TDB13-250
TDB13-500,54.00,13.25,11.75,13.25,TDB13-500
TDB2-100,2.20,13.40,1.90,13.25,TDB2-100
TDB2-25,0.60,12.75,0.77,12.75,TDB2-25
TDB2-250,6.00,7.90,4.80,7.90,TDB2-250
TDB2-50,1.10,0.00,0.00,0.00,TDB2-50
TDB2-500,11.00,9.60,6.80,9.60,TDB2-500
TDB5-100,4.40,14.00,2.10,14.00,TDB5-100
TDB5-25,1.10,13.25,1.20,12.80,TDB5-25
TDB5-250,11.00,8.00,6.80,8.00,TDB5-250
TDB5-50,2.20,13.50,1.50,13.00,TDB5-50
TDB5-500,22.00,0.00,0.00,0.00,TDB5-500
TDB7-100,6.02,13.25,2.90,14.00,TDB7-100
TDB7-25,1.50,13.00,1.25,13.00,TDB7-25
TDB7-250,15.00,11.50,6.75,11.50,TDB7-250
TDB7-50,3.01,13.25,1.60,14.00,TDB7-50
TDB7-500,30.10,11.70,11.70,8.50,TDB7-500
TDCBAC1,0.74,0.00,0.00,0.00,TDCBAC1
TDCBAC34,0.74,4.30,3.10,4.10,TDCBAC34
TDE1508H100,1.50,12.00,1.50,11.00,TDE1508H100
TDE1508L100,1.75,12.00,1.50,11.00,TDE1508L100
TDE804100,1.00,12.00,1.50,11.00,TDE804100
TDIGREP,0.341,3.00,2.00,2.00,TDIGREP
TDIGVA34,0.90,5.80,3.00,4.30,TDIGVA34
TDLT1,1.41,8.00,3.00,8.00,TDLT1
TDLT112,1.41,8.00,3.00,8.00,TDLT112
TDLT2,1.41,8.00,3.00,8.00,TDLT2
TDLT34,1.39,8.00,3.00,8.00,TDLT34
TGALMS,0.581,7.00,4.00,3.00,TGALMS
TGALVDIASM,0.04,2.80,1.00,2.80,TGALVDIASM
TGL8M,4.55,12.00,5.00,9.00,TGL8M
TGLMOD4,0.10,3.50,2.00,2.50,TGLMOD4
TGNAC12,3.60,11.75,5.00,9.20,TGNAC12
TGNAC4,3.60,9.10,5.25,11.75,TGNAC4
TGNAC6,3.60,11.80,4.80,9.20,TGNAC6
TGNAC9,3.60,9.25,5.00,12.00,TGNAC9
TGNALT,0.50,3.125,5.875,2.375,TGNALT
TGNDIASM,0.05,2.25,1.50,2.25,TGNDIASM
TGNEZ,1.00,7.00,4.00,4.00,TGNEZ
TGNGH,0.86,5.00,4.00,6.00,TGNGH
TGNGR6,2.02,10.00,4.00,8.00,TGNGR6
TGNHF1,1.58,7.00,4.00,4.50,TGNHF1
TGNHF1BT,1.58,8.00,4.00,5.00,TGNHF1BT
TGNHF1WP,1.58,7.00,4.00,4.50,TGNHF1WP
TGNHFBT,1.35,7.00,4.00,5.00,TGNHFBT
TGNHOSEBT,0.76,7.00,4.00,5.00,TGNHOSEBT
TGNLID,1.00,7.00,4.00,4.00,TGNLID
TGNLIDBT,1.00,5.00,6.00,5.00,TGNLIDBT
TGNSOL,0.34,4.00,2.00,3.00,TGNSOL
TGNSWV,0.09,1.75,1.50,1.50,TGNSWV
TGNVA1,0.78,5.00,4.00,5.00,TGNVA1
TGNVA112,2.56,7.75,5.75,7.00,TGNVA112
TGNVA2,2.60,8.00,6.00,7.00,TGNVA2
TGNWN,0.004,1.00,0.50,0.70,TGNWN
TGWS,0.026,1.40,1.10,1.00,TGWS
THPREXT4,6.12,11.00,5.00,10.00,THPREXT4
THXHY6,2.49,10.00,4.00,8.00,THXHY6
TIZP,0.70,0.00,0.00,0.00,TIZP
TM112OR,0.02,1.50,0.20,1.50,TM112OR
TM1INS,0.10,3.50,2.00,2.00,TM1INS
TM34INS,0.10,3.50,1.75,1.75,TM34INS
TMNOR,0.002,1.50,0.20,1.50,TMNOR
TMRNOR,0.002,1.00,0.20,1.00,TMRNOR
TOLDIAL,0.86,10.00,3.00,9.00,TOLDIAL
TOR4VA,0.40,9.00,3.00,6.00,TOR4VA
TOR4W,3.00,12.00,4.00,13.00,TOR4W
TORBHVHS,0.00,0.00,0.00,0.00,TORBHVHS
TORED,1.70,10.00,3.00,6.00,TORED
TORSD,0.80,7.50,9.50,2.00,TORSD
TORTRANS,1.18,4.00,3.00,3.00,TORTRANS
TORWU,0.50,4.375,3.00,2.50,TORWU
TP1508H,56.00,18.00,12.00,18.00,TP1508H
TP1508HSR,14.25,16.00,8.00,16.00,TP1508HSR
TPUMP,2.75,6.80,8.90,4.60,TPUMP
TSLC,0.007,1.50,0.60,0.70,TSLC
VAB1,0.214,5.50,2.00,2.00,VAB1
VAB12,0.016,1.50,1.00,1.00,VAB12
VAB34,0.229,5.25,2.00,2.00,VAB34
VBAC1,0.733,6.00,3.50,5.00,VBAC1
VBAC34,0.672,5.00,3.50,5.00,VBAC34
VBACDIA34,0.09,3.00,0.70,3.00,VBACDIA34
VBACDIALG,0.221,4.50,1.20,4.50,VBACDIALG
VBACSOL,0.201,3.00,1.00,3.00,VBACSOL
VBB3WI,1.96,7.00,3.00,3.50,VBB3WI
VBBI112,2.42,0.00,0.00,0.00,VBBI112
VBBILF1,1.22,5.80,1.90,3.00,VBBILF1
VBBILF112,1.22,7.00,2.60,3.90,VBBILF112
VBBILF12,1.22,4.10,1.20,2.00,VBBILF12
VBBILF2,1.22,10.25,3.50,5.00,VBBILF2
VBBILF34,1.22,5.60,1.50,2.50,VBBILF34
VBD12,8.90,22.00,16.00,18.00,VBD12
VBD6,1.06,9.00,8.25,8.25,VBD6
VDCK1,9.411,14.00,5.00,7.50,VDCK1
VDCK34,8.036,14.00,5.00,7.50,VDCK34
VDRAIN,0.034,1.50,2.00,2.00,VDRAIN
VDRAINBR,0.073,2.00,2.25,2.25,VDRAINBR
VDV6C3,0.04,1.75,2.00,1.75,VDV6C3
VDV6C4,0.04,1.75,2.00,1.75,VDV6C4
VDV6C5,0.04,1.75,2.00,1.75,VDV6C5
VDV6C6,0.04,1.75,2.00,1.75,VDV6C6
VDVDISK,0.22,3.50,3.50,3.50,VDVDISK
VFH,0.0235,1.50,1.00,1.25,VFH
VFP,0.025,1.50,1.25,1.25,VFP
VFP2,0.45,1.50,1.25,1.25,VFP2
VG1,0.758,4.00,1.50,2.50,VG1
VG34,0.688,3.50,2.50,2.50,VG34
VGAKHU,20.00,20.00,3.00,14.00,VGAKHU
VGB,2.50,0.00,0.00,0.00,VGB
VGB25,30.00,15.00,12.00,12.00,VGB25
VGBAG,0.50,23.00,0.10,17.00,VGBAG
VGBLG,9.00,0.00,0.00,0.00,VGBLG
VGBLQ,3.00,3.40,8.70,3.40,VGBLQ
VGF1,1.00,11.00,1.80,6.25,VGF1
VGIF2,2.10,9.00,3.40,5.50,VGIF2
VGIF25,25.00,26.00,3.75,17.00,VGIF25
VGK1,1.00,9.25,1.20,6.50,VGK1
VGM1,1.30,7.25,3.00,5.00,VGM1
VGM5,5.00,10.75,4.60,6.50,VGM5
VGN112,2.359,8.00,6.00,8.00,VGN112
VGN2,2.513,8.00,6.00,7.00,VGN2
VGNAC1,0.75,5.20,3.70,5.00,VGNAC1
VGNAC34,0.70,5.00,3.70,5.20,VGNAC34
VGNBAT,5.00,9.00,5.30,15.25,VGNBAT
VGNBAT22,22.00,24.00,3.50,15.00,VGNBAT22
VGNDC1,0.78,5.10,3.70,5.10,VGNDC1
VGNDC34,0.74,5.10,3.70,5.10,VGNDC34
VGNSOL,0.272,3.50,2.50,2.25,VGNSOL
VGROCK,5.00,11.00,4.75,7.75,VGROCK
VGROCK22,22.00,13.50,3.50,16.00,VGROCK22
VHJAR,0.98,6.00,4.00,4.50,VHJAR
VKRJAR,0.78,6.00,3.50,5.00,VKRJAR
VM34UN,0.459,3.00,2.00,2.00,VM34UN
VOMBON,0.212,5.00,3.00,3.00,VOMBON
VORSOL,0.24,3.00,2.00,2.00,VORSOL
VPCK,0.203,4.50,2.00,2.00,VPCK
VPCK1,0.375,5.25,2.50,2.50,VPCK1
VPCK112,0.931,6.25,3.50,3.50,VPCK112
VPCK2,1.369,7.75,4.00,4.00,VPCK2
VRB1,0.899,5.40,3.60,4.50,VRB1
VRBAS1,1.625,8.00,3.50,7.50,VRBAS1
VRBAS34,1.625,7.50,4.50,7.50,VRBAS34
WBL350,3.10,36.00,4.00,4.00,WBL350
WHOLD,1.42,16.00,6.00,16.00,WHOLD
WORM2,12.65,16.50,13.50,16.50,WORM2
121,0.00,0.00,0.00,0.00,121
14100,1.02,8.00,3.00,8.00,14100
1450,0.544,6.50,2.50,6.50,1450
14500,7.34,12.00,5.00,12.00,14500
14BUG,0.001,4.00,0.75,2.00,14BUG
34100,8.00,18.00,10.00,18.00,34100
ABBCULT,0.75,13.00,2.50,2.75,ABBCULT
ABBGARKNIFE,0.95,11.00,2.50,3.50,ABBGARKNIFE
ABBSCISSOR,0.55,11.00,0.50,3.50,ABBSCISSOR
ABBSPADE,0.70,13.75,2.00,3.00,ABBSPADE
AFBLADE,0.06,3.60,0.25,3.70,AFBLADE
AFHFHBS,0.11,5.00,1.00,1.50,AFHFHBS
BL34,0.045,2.25,1.00,2.25,BL34
CHS,0.045,2.75,1.375,1.375,CHS
ELFH,0.052,3.80,1.30,1.30,ELFH
ELL,0.056,3.89,1.19,2.73,ELL
ELMC,0.058,3.17,1.20,1.20,ELMC
ELT,0.1085,4.84,1.20,2.73,ELT
IMR1,3.84,16.00,6.00,7.00,IMR1
IMR2SO,3.80,21.00,6.00,7.00,IMR2SO
IMRLEG,3.00,2.00,35.75,2.00,IMRLEG
IMRTF102,20.00,14.75,27.50,11.00,IMRTF102
IMRTF252,46.00,0.00,0.00,0.00,IMRTF252
IMRTF52,9.20,25.25,0.70,9.25,IMRTF52
NHRL-BKP1,0.00,0.00,0.00,0.00,NHRL-BKP1
NHSC-LEAF,1.50,0.00,0.00,0.00,NHSC-LEAF
NHSC-LUM,1.50,0.00,0.00,0.00,NHSC-LUM
NHSC-TUS,1.50,0.00,0.00,0.00,NHSC-TUS
NSCAGE,1.00,0.00,0.00,0.00,NSCAGE
NSHDDM4,0.00,0.00,0.00,0.00,NSHDDM4
TGNHFWP,1.35,8.00,5.00,4.00,TGNHFWP
THRL-100-60,0.00,0.00,0.00,0.00,THRL-100-60
TORBHV12,0.00,0.00,0.00,0.00,TORBHV12
TORBHVHS2,0.00,0.00,0.00,0.00,TORBHVHS2
TORBHVHUB,0.00,0.00,0.00,0.00,TORBHVHUB
BC,0.023,2.375,0.625,0.625,BC
BC1,0.061,3.60,1.10,1.10,BC1
BC114,0.109,3.70,1.90,1.90,BC114
BC2,0.157,3.75,2.25,2.25,BC2
BC34,0.04,2.50,1.00,1.00,BC34
BC34DURA,0.034,3.00,0.80,0.80,BC34DURA
BCDURA,0.023,3.60,0.70,0.70,BCDURA
BFH,0.027,2.25,1.25,1.25,BFH
BFH1,0.077,2.70,1.40,1.40,BFH1
BFH34,0.03,2.25,1.25,1.25,BFH34
BFH34DURA,0.059,2.70,1.30,1.30,BFH34DURA
BFHDURA,0.055,2.70,1.30,1.30,BFHDURA
BFP1,0.085,2.75,1.75,1.75,BFP1
BFP112,0.141,3.00,2.50,2.50,BFP112
BFP12,0.034,2.50,1.00,1.00,BFP12
BFP2,0.207,2.80,2.80,2.80,BFP2
BFP34,0.046,2.30,1.40,1.40,BFP34
BFRT112,0.095,4.60,1.00,1.70,BFRT112
BFRT134,0.107,4.75,1.25,2.00,BFRT134
BFRT3412,0.073,4.75,1.25,2.00,BFRT3412
BFT1,0.151,4.75,2.00,2.25,BFT1
BFT112,0.278,5.60,2.20,2.80,BFT112
BFT12,0.063,4.75,1.00,1.75,BFT12
BFT2,0.414,6.00,3.00,4.00,BFT2
BFT34,0.082,4.60,1.70,1.30,BFT34
BL,0.019,1.875,0.625,1.875,BL
BL1,0.095,3.00,1.00,3.00,BL1
BL112,0.169,3.50,2.00,3.50,BL112
BL114,0.132,3.20,1.50,3.20,BL114
BL2,0.262,4.00,2.50,4.00,BL2
BL34DURA,0.062,3.00,1.00,3.00,BL34DURA
BLDURA,0.04,3.80,0.60,2.80,BLDURA
BMH,0.021,2.90,1.10,1.10,BMH
BMH1,0.063,3.00,1.50,1.50,BMH1
BMH34,0.042,2.80,1.10,1.10,BMH34
BMP1,0.063,2.50,1.40,1.40,BMP1
BMP112,0.13,3.00,2.00,2.00,BMP112
BMP114,0.092,2.90,1.80,1.80,BMP114
BMP12,0.024,2.30,1.00,1.00,BMP12
BMP2,0.182,3.50,2.50,2.50,BMP2
BMP34,0.042,2.30,1.20,1.20,BMP34
BMT34,0.072,4.50,1.00,2.00,BMT34
BOSS1,0.009,1.50,0.30,1.50,BOSS1
BOSS12,0.006,0.90,0.20,0.80,BOSS12
BOSS34,0.007,1.20,0.20,1.00,BOSS34
BOTOOL,0.899,9.75,1.00,2.00,BOTOOL
BP,0.024,1.50,0.60,0.60,BP
BP1,0.032,2.75,1.00,1.00,BP1
BP112,0.093,2.00,2.00,2.00,BP112
BP2,0.104,2.25,2.25,2.25,BP2
BP34,0.034,1.625,0.875,0.875,BP34
BPAN,0.024,1.75,0.75,0.75,BPAN
BPAN34,0.024,1.875,0.875,0.875,BPAN34
BRC112,0.047,3.25,1.00,1.00,BRC112
BRC1121,0.117,3.40,1.70,1.70,BRC1121
BRC11234,0.086,4.00,2.10,2.10,BRC11234
BRC134,0.051,3.25,1.25,1.25,BRC134
BRC21,0.137,24.00,2.50,2.50,BRC21
BRC2112,0.141,3.70,2.10,2.10,BRC2112
BRC3412,0.033,3.188,0.875,0.875,BRC3412
BRL3412,0.038,2.30,0.85,2.50,BRL3412
BRT112,0.112,5.00,1.00,3.00,BRT112
BRT1121,0.178,4.50,2.00,3.50,BRT1121
BRT11212,0.14,4.00,1.75,3.25,BRT11212
BRT11234,0.16,4.30,1.80,3.30,BRT11234
BRT134,0.118,5.00,1.25,3.00,BRT134
BRT21,0.23,4.50,2.10,3.80,BRT21
BRT212,0.189,4.00,2.50,4.00,BRT212
BRT234,0.203,4.30,2.10,3.70,BRT234
BRT3412,0.077,5.00,0.80,2.90,BRT3412
BSHC,0.04,3.00,3.00,3.00,BSHC
BSHC1,0.044,4.00,4.00,4.00,BSHC1
BSHC112,0.046,2.50,0.75,2.00,BSHC112
BSHC12,0.039,1.50,0.75,1.00,BSHC12
BSHC2,0.051,3.00,0.75,2.50,BSHC2
BT,0.025,3.00,0.625,1.875,BT
BT1,0.103,5.00,1.00,3.00,BT1
BT112,0.22,5.00,2.00,3.50,BT112
BT2,0.324,5.50,2.20,3.80,BT2
BT34,0.037,3.30,1.00,2.10,BT34
BT34DURA,0.086,3.00,0.90,5.30,BT34DURA
BTDURA,0.058,5.00,0.60,2.80,BTDURA
BVA,0.041,3.25,1.00,1.50,BVA
BVA1,0.18,4.80,2.00,2.70,BVA1
BVA34,0.095,4.00,2.30,1.60,BVA34
P3412B,0.026,1.20,1.30,1.30,P3412B
P3412R90,0.124,2.10,1.30,2.00,P3412R90
P3412RC,0.066,2.20,1.30,1.30,P3412RC
P3412RN,0.03,1.80,1.00,1.00,P3412RN
P3412RT,0.086,2.70,1.30,2.00,P3412RT
P3412ST90,0.10,2.00,1.30,2.00,P3412ST90
P3412STB,0.023,1.25,1.25,1.25,P3412STB
P3412STT,0.095,2.70,1.75,2.25,P3412STT
P3412TRC,0.071,1.70,1.70,1.70,P3412TRC
P3412TTB,0.019,1.00,1.25,1.25,P3412TTB
P3414STB,0.046,1.25,1.10,1.10,P3414STB
P342N,0.039,2.10,1.10,1.10,P342N
P3445,0.083,3.00,1.50,2.50,P3445
P344N,0.083,4.00,1.10,1.10,P344N
P3490,0.077,2.20,1.30,2.20,P3490
P34BVS,0.278,3.75,3.00,3.00,P34BVS
P34BVT,0.295,4.00,2.00,3.00,P34BVT
P34C,0.051,2.50,1.25,1.25,P34C
P34CA,0.039,1.50,1.50,1.50,P34CA
P34CC,0.339,5.40,2.00,2.00,P34CC
P34CN,0.02,1.50,1.10,1.10,P34CN
P34F12S,0.047,1.70,1.40,1.40,P34F12S
P34FA,0.051,1.90,1.40,1.40,P34FA
P34INBA,0.04,2.50,1.20,1.20,P34INBA
P34M12S,0.029,1.60,1.10,1.80,P34M12S
P34MA,0.043,2.00,1.50,1.50,P34MA
P34MFA,0.047,2.25,1.50,1.50,P34MFA
P34S12M,0.077,1.90,1.30,1.30,P34S12M
P34SF,0.37,7.00,2.00,2.00,P34SF
P34SLSTR,0.081,2.30,1.30,2.30,P34SLSTR
P34ST90,0.09,2.50,2.50,2.50,P34ST90
P34STR90,0.079,2.30,1.40,2.20,P34STR90
P34STT,0.108,2.80,2.00,1.30,P34STT
P34SU,0.241,2.30,2.10,2.10,P34SU
P34T,0.113,3.30,1.30,2.30,P34T
P34T90,0.117,2.40,1.50,2.40,P34T90
P34TAD,0.191,2.80,1.70,2.80,P34TAD
P34TC,0.059,1.50,1.50,1.50,P34TC
P34TCA,0.039,1.10,1.40,1.40,P34TCA
P34TP,0.034,1.00,1.10,1.10,P34TP
P34TSTR90,0.078,2.20,1.30,1.60,P34TSTR90
P34TT,0.101,2.60,1.40,2.20,P34TT
P34TU,0.249,2.40,2.50,2.50,P34TU
