Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
IM1KIT,0.01,0.40,0.80,0.80,IM1KIT
IM1L,0.403,9.00,2.00,5.00,IM1L
IM1SA,1.59,14.00,2.50,11.00,IM1SA
IM2,0.85,12.00,3.00,4.00,IM2
IM2BYPSAKIT,8.50,0.00,0.00,0.00,IM2BYPSAKIT
IM2CV,0.00,0.00,0.00,0.00,IM2CV
IM34BP,1.75,17.25,3.00,7.50,IM34BP
IM34H,0.164,7.00,2.00,3.00,IM34H
IM34KIT,0.01,2.20,0.20,2.20,IM34KIT
IM34L,0.165,7.00,2.00,3.00,IM34L
IM34SA,0.466,11.00,0.70,8.50,IM34SA
IM34SSCR,0.029,2.10,1.10,1.10,IM34SSCR
IMR102SK,0.00,0.00,0.00,0.00,IMR102SK
IMR10BP,0.10,0.00,0.00,0.00,IMR10BP
IMR10PISTON,0.20,0.00,0.00,0.00,IMR10PISTON
IMR10SLKIT,0.108,0.00,0.00,0.00,IMR10SLKIT
IMR10STK,0.00,0.00,0.00,0.00,IMR10STK
IMR10V2,7.651,19.00,6.00,14.00,IMR10V2
IMR12STK,0.00,0.00,0.00,0.00,IMR12STK
IMR1410SLKIT,0.108,0.00,0.00,0.00,IMR1410SLKIT
IMR1SLKIT,0.10,0.00,0.00,0.00,IMR1SLKIT
IMR2BP,0.20,0.00,0.00,0.00,IMR2BP
IMR2INBYP,4.00,20.50,6.00,7.00,IMR2INBYP
IMR2OR,0.10,0.00,0.00,0.00,IMR2OR
IMR2PISTON,0.10,0.00,0.00,0.00,IMR2PISTON
IMR2SLKIT,0.104,4.10,0.80,4.10,IMR2SLKIT
IMR4BP,0.108,0.00,0.00,0.00,IMR4BP
IMR4SLKIT,0.103,4.00,0.70,4.00,IMR4SLKIT
IMR4SO,4.226,21.00,6.00,7.00,IMR4SO
IMR510CV,0.00,0.00,0.00,0.00,IMR510CV
IMR52LSK,0.00,0.00,0.00,0.00,IMR52LSK
IMRCHECK,0.04,3.00,1.30,1.30,IMRCHECK
IMRMB14,0.121,4.25,2.25,2.75,IMRMB14
IMRPLSPKIT,0.0092,2.00,0.30,1.60,IMRPLSPKIT
IMRSTR24,0.05,3.80,1.20,1.20,IMRSTR24
IMRTF34,4.136,25.00,9.00,7.00,IMRTF34
IMRTF5SLKIT,0.08,5.00,1.00,5.00,IMRTF5SLKIT
LS12M,0.03,2.60,1.20,1.20,LS12M
LSB,0.05,2.00,1.20,1.20,LSB
LSB400,0.025,2.60,1.30,1.30,LSB400
LSBSO,0.047,3.10,1.00,2.10,LSBSO
LSBSO400,0.05,3.50,2.00,2.00,LSBSO400
LSC,0.035,3.40,1.20,1.20,LSC
LSCSO,0.062,4.20,2.10,2.10,LSCSO
LSELC,0.10,4.75,1.25,1.25,LSELC
LSF,0.043,3.00,1.30,1.30,LSF
LSGS,0.015,1.23,0.58,1.40,LSGS
LSL,0.045,4.60,1.10,3.00,LSL
LSM,0.03,2.85,1.24,1.10,LSM
LSMC,0.048,3.10,1.30,1.30,LSMC
LSPLUG,0.015,2.60,1.40,1.40,LSPLUG
LSPVL,0.08,4.00,2.00,2.00,LSPVL
LSSOC,0.037,2.80,1.20,1.20,LSSOC
LST,0.065,4.60,1.10,3.00,LST
